Permutation,Q2_Scrambled
1,-0.0505590496829289
2,-0.2635154987184649
3,-0.08697268400160918
4,-0.22570243838136084
5,-0.04663924293301647
6,-0.1301242102904252
7,-0.06750158992299737
8,-0.05243121762210867
9,-0.0828023017563495
10,-0.31859114929708365
11,-0.0476463086257406
12,-0.10735133230119742
13,-0.1412891571209851
14,-0.029881515608200848
15,-0.05279295061769074
16,-0.07092534165750819
17,-0.09340252396590798
18,-0.014808425603825448
19,-0.13043658628606547
20,-0.2671094658916975
21,-0.13079915672230102
22,-0.6746191602678115
23,-0.12294249483324382
24,-0.10833613188184166
25,-0.08927060572896273
26,-0.07769970329240294
27,-0.05220254745780584
28,-0.07005722876918563
29,-0.07779736310630159
30,-0.7768487385682992
31,-0.059498494177050665
32,-0.11950310895899952
33,-0.13661726704283783
34,-0.1937641379895585
35,-0.13231597013448892
36,-0.04243435125807493
37,-0.3628033644787869
38,-0.20876282665936507
39,-0.11518139485353429
40,-0.15890057850149186
41,-0.5483491024853999
42,-0.19000556364433607
43,-0.02053800517074733
44,-0.1725778187334508
45,-0.1937298519143209
46,-0.03982627767393199
47,-0.09006797856071502
48,-0.015253439245168643
49,-0.13419732777027615
50,-0.06621406157407916
51,-0.05394456986764595
52,-0.20691384630655318
53,-0.03817981484560451
54,-0.07480365390107435
55,-0.1866458506041755
56,-0.11912471881544051
57,-0.06087161945255248
58,-0.00863179544139081
59,-0.032192177248106635
60,-0.294387037571354
61,-0.0665478965192674
62,-0.6484483916278414
63,-0.31065863580261
64,-0.04635074725846855
65,-0.16278369934370418
66,-0.32445252743649156
67,-0.08506690908655168
68,-0.17645255394140436
69,-0.06302598194481845
70,-0.18792208943865218
71,-0.05556172053613184
72,-0.01567855469363666
73,-0.10672549937212072
74,-0.1437716790425454
75,-0.07807768153882133
76,-0.12274194271472272
77,-0.15339694961647798
78,-0.08915772295040925
79,-0.27208208342162954
80,-0.11939066454073077
81,-0.20786636104916423
82,-0.09678831136578969
83,-0.03691431423242619
84,-0.20092072631792202
85,-0.10101132655623091
86,-0.21573464515077023
87,-0.20064031385512848
88,-0.05332290961164765
89,-0.20631884200601225
90,0.02255776675958976
91,-0.006489408555642395
92,-0.18093821454258352
93,-0.13915912439386768
94,0.20035162705864784
95,-0.18312239077705783
96,-0.11919862320174879
97,-0.03567501387872207
98,-0.20051013143551044
99,-0.12901792977293014
100,-0.08928064347163334
101,-0.0127436834970176
102,-0.05315295070581727
103,-0.08172578523997331
104,-0.13056854542675445
105,-0.05746948074664626
106,-0.11601757897598874
107,-0.06384085976766962
108,-0.12076057560206643
109,-0.16518187107154958
110,-0.09113487900944128
111,-0.07674972431651117
112,-0.12188474491198331
113,-0.10376164956490941
114,-0.011970592200540864
115,-0.369480203196217
116,-0.23376107317413863
117,-0.0711125722965602
118,-0.38765488408034554
119,-0.17282350336512375
120,-0.6354936278340788
121,-0.06833327198129058
122,-0.10342561770289427
123,-0.0904155180670212
124,-0.23825465828245918
125,-0.36205871453847127
126,-0.05890566682729825
127,-0.039765785156826494
128,-0.04829903166488192
129,-0.058336171377042056
130,-0.275453503273847
131,-0.15947444052099513
132,-0.1093042850383743
133,-0.1179969818840636
134,-0.11381312257553278
135,-0.037826466628291255
136,-0.15761033804809665
137,0.046276232010245666
138,-0.049848095120422764
139,0.045235317613879444
140,-0.028536037596742947
141,-0.03314559979171672
142,-0.17167375284312514
143,-0.032801607892122275
144,-0.05971813869497722
145,-0.030553651915967484
146,-0.11946616212750105
147,-0.0748102308654992
148,-0.05873728777410259
149,-0.06753183869035873
150,-0.8421833448717195
151,-0.05146147626410036
152,-0.04031103849922868
153,-0.1505675537905382
154,-0.06161714525786466
155,-0.07387267103720352
156,-0.05601216712124102
157,-0.19874611597652514
158,-0.07141892769112745
159,-0.09794691420851787
160,-0.03730124729252382
161,0.00761052415343022
162,-0.24940509288605184
163,-0.08373421015466298
164,-0.07557939427540639
165,-0.057082025689557
166,-0.16795346113955056
167,-0.045607153035049475
168,-0.07949558777950605
169,-0.5034519281967518
170,0.024334533348246534
171,-0.2780271752942025
