name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Erlotinib,EGFR Tyrosine Kinase Inhibitor,AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,393.443,3.405,-4.505,12.3119,7,1,74.73,10,3,3,169.532,0.273,-9.817,-7.691,2.126,1.063,0.4703,8.754,-8.754,36.039
Larotrectinib,TRK Kinase Inhibitor,NYNZQNWKBKUAII-KBXCAEBGSA-N,C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CC[C@@H](C4)O)C5=C(C=CC(=C5)F)F,428.443,2.948,-4.599,10.7801,5,2,86.0,3,5,3,176.644,0.381,-9.343,-7.301,2.042,1.021,0.4897,8.322,-8.322,33.919
Abemaciclib,CDK4/6 Inhibitor,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,506.605,4.937,-6.221,0.3044,7,1,75.0,7,5,4,214.934,0.407,-9.215,-7.878,1.337,0.668,0.7481,8.546,-8.546,54.642
Palbociclib,CDK4/6 Inhibitor,AHJRHEGDXFFMBM-UHFFFAOYSA-N,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,447.543,2.966,-4.597,11.3136,8,2,105.04,5,5,3,191.809,0.458,-9.542,-7.928,1.614,0.807,0.6195,8.735,-8.735,47.272
Gemcitabine,Deoxycytidine Nucleoside Analogue,SDUQYLNIPVEERB-QPPQHZFASA-N,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,263.2,-1.289,-0.898,33286.3162,6,3,110.6,2,2,1,99.434,0.556,-10.883,-7.722,3.161,1.58,0.3164,9.302,-9.302,27.377
5-Fluorouracil,Thymidylate Synthase Antimetabolite,GHASVSINZRGABV-UHFFFAOYSA-N,C1=C(C(=O)NC(=O)N1)F,130.078,-0.798,-0.884,16993.3362,2,2,65.72,0,1,1,48.359,0.0,-11.767,-8.075,3.693,1.846,0.2708,9.921,-9.921,26.655
Capecitabine,Fluoropyrimidine Carbamate Prodrug,GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,359.354,0.76,-2.521,1082.9379,7,3,122.91,6,2,1,142.943,0.667,-11.255,-8.35,2.905,1.452,0.3443,9.802,-9.802,33.08
Irinotecan,Topoisomerase I Inhibitor,UWKQSNNFCGGAFS-XIFFEERXSA-N,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,586.689,4.091,-6.108,0.4575,8,1,114.2,4,7,3,249.756,0.515,-9.514,-8.262,1.252,0.626,0.7987,8.888,-8.888,63.102
Paclitaxel,Microtubule Stabilizing Taxane,RCINICONZNJXQF-MZXODVADSA-N,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,853.918,3.736,-7.145,0.0612,14,4,221.29,10,7,3,357.885,0.447,-10.659,-8.087,2.572,1.286,0.3888,9.373,-9.373,34.158
Methotrexate,Dihydrofolate Reductase Antifolate,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,454.447,0.268,-2.973,483.9743,10,5,210.54,9,3,3,187.031,0.25,-9.715,-8.87,0.845,0.422,1.1833,9.293,-9.293,102.181
Etoposide,Topoisomerase II Inhibitor,VJJPUSNTGOMMGY-MRVIYFEKSA-N,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,588.562,1.339,-4.214,35.9717,13,3,160.83,5,7,2,240.229,0.552,-9.839,-6.515,3.324,1.662,0.3009,8.177,-8.177,20.118
Doxorubicin,Anthracycline Topoisomerase II Intercalator,AOJJSUZBOXZQNB-TZSSRYMLSA-N,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.525,0.001,-3.177,361.8646,12,6,206.07,5,5,2,222.081,0.444,-10.537,-8.959,1.579,0.789,0.6334,9.748,-9.748,60.192
Topotecan,Topoisomerase I Inhibitor,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,421.453,1.847,-3.862,57.8439,7,2,104.89,3,5,3,177.877,0.348,-10.449,-8.214,2.236,1.118,0.4473,9.332,-9.332,38.949
Dacarbazine,Purine Alkylating Agent,FDKXTQMXEQVLRF-ZHACJKMWSA-N,CN(C)/N=N/C1=C(NC=N1)C(=O)N,182.187,0.069,-1.555,5076.4298,4,2,99.73,3,1,1,74.633,0.333,-8.98,-7.36,1.62,0.81,0.6172,8.17,-8.17,41.202
Hydroxyurea,Ribonucleotide Reductase Inhibitor,VSNHCAURESNICA-UHFFFAOYSA-N,C(=O)(N)NO,76.055,-0.956,0.291,148569.5373,2,3,75.35,0,0,0,28.539,0.0,-10.921,-5.879,5.042,2.521,0.1983,8.4,-8.4,13.995
Mitomycin C,DNA Crosslinking Antibiotic,NWIBSHFKIJFRCO-WUDYKRTCSA-N,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,334.332,-1.651,-0.675,70725.4218,8,3,146.89,3,4,0,137.147,0.533,-10.306,-8.876,1.43,0.715,0.6993,9.591,-9.591,64.322
Leucovorin,Folate Biochemical Modulator,VVIAGPKUTFNRDU-ABLWVSNPSA-N,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,473.446,-0.731,-2.148,3366.4065,9,7,219.84,10,3,2,191.717,0.3,-9.903,-7.153,2.75,1.375,0.3637,8.528,-8.528,26.447
Pemetrexed,Multitargeted Antifolate,WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,427.417,0.666,-3.056,375.8693,6,6,191.26,9,3,3,174.862,0.25,-9.738,-7.286,2.451,1.226,0.4079,8.512,-8.512,29.553
Trabectedin,DNA Minor Groove Alkylator,PKVRCIRHQMSYJX-AIFWHQITSA-N,CC1=CC2=C([C@@H]3[C@@H]4[C@H]5C6=C(C(=C7C(=C6[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O,761.85,3.413,-6.738,0.1393,15,4,168.72,3,10,3,315.754,0.487,-9.516,-6.924,2.591,1.296,0.3859,8.22,-8.22,26.076
