E_total_Eh,E_total_kcal_mol,E_disp_Eh,E_HOMO_eV,E_LUMO_eV,Gap_eV,Dipole_Debye,Hardness_eta_eV,Chemical_Potential_mu_eV,Electronegativity_chi_eV,Electrophilicity_omega_eV,Softness_S_eV_inv,name,returncode,opt_xyz_path
-81.312396371452,-51024.30119085166,0.0,-11.2546,-8.35,2.904529843613,0.0,1.4523,-9.8023,9.8023,33.0803,0.3443,Capecitabine,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Capecitabine\xtbopt.xyz
-126.277489024463,-79240.32399899626,0.0,-9.5144,-8.2624,1.251969222395,0.0,0.626,-8.8884,8.8884,63.102,0.7987,Irinotecan,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Irinotecan\xtbopt.xyz
-186.479162832909,-117017.4462296973,0.0,-10.6595,-8.0873,2.572138832889,0.0,1.2861,-9.3734,9.3734,34.1578,0.3888,Paclitaxel,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Paclitaxel\xtbopt.xyz
-97.792999847161,-61366.036437592076,0.0,-9.7152,-8.8701,0.845162797984,0.0,0.4225,-9.2927,9.2927,102.1812,1.1833,Methotrexate,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Methotrexate\xtbopt.xyz
-131.343459074453,-82419.26833208046,0.0,-9.8386,-6.5151,3.323544033184,0.0,1.6617,-8.1768,8.1768,20.1176,0.3009,Etoposide,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Etoposide\xtbopt.xyz
-120.282872121339,-75478.64494342537,0.0,-10.5374,-8.9587,1.578760331577,0.0,0.7893,-9.748,9.748,60.1916,0.6334,Doxorubicin,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Doxorubicin\xtbopt.xyz
-90.15011677208,-56570.054700589535,0.0,-10.4494,-8.2137,2.235683219083,0.0,1.1179,-9.3316,9.3316,38.9488,0.4473,Topotecan,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Topotecan\xtbopt.xyz
-39.501045867916,-24787.281542053035,0.0,-8.9805,-7.3603,1.62013237139,0.0,0.8101,-8.1704,8.1704,41.202,0.6172,Dacarbazine,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Dacarbazine\xtbopt.xyz
-18.112287446966,-11365.63243970191,0.0,-10.9215,-5.8793,5.042228916508,0.0,2.5211,-8.4004,8.4004,13.9952,0.1983,Hydroxyurea,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Hydroxyurea\xtbopt.xyz
-73.307919571178,-46001.41595615012,0.0,-10.306,-8.8759,1.430122502542,0.0,0.715,-9.5909,9.5909,64.3216,0.6993,Mitomycin C,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Mitomycin C\xtbopt.xyz
-103.568186249842,-64990.020769545226,0.0,-9.9027,-7.1529,2.749769017611,0.0,1.3749,-8.5278,8.5278,26.4468,0.3637,Leucovorin,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Leucovorin\xtbopt.xyz
-92.642301662217,-58133.92439490696,0.0,-9.7375,-7.286,2.451484108645,0.0,1.2258,-8.5117,8.5117,29.5533,0.4079,Pemetrexed,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Pemetrexed\xtbopt.xyz
-162.289474360851,-101838.18691144043,0.0,-9.5156,-6.9244,2.591182822703,0.0,1.2956,-8.22,8.22,26.0761,0.3859,Trabectedin,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Trabectedin\xtbopt.xyz
-107.092442145685,-67201.52482461772,0.0,-9.5454,-7.9163,1.629100206465,0.0,0.8146,-8.7309,8.7309,46.7913,0.6138,Avapritinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Avapritinib\xtbopt.xyz
-93.66706570438,-58776.97356662264,0.0,-9.6385,-7.7157,1.922778576827,0.0,0.9614,-8.6771,8.6771,39.1575,0.5201,Futibatinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Futibatinib\xtbopt.xyz
-82.180488494922,-51569.03724520426,0.0,-9.874,-7.5449,2.329164259242,0.0,1.1646,-8.7095,8.7095,32.5682,0.4294,Belumosudil,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Belumosudil\xtbopt.xyz
-63.083943950378,-39585.77412632972,0.0,-9.8113,-6.6034,3.20787876689,0.0,1.6039,-8.2073,8.2073,20.9983,0.3117,Capivasertib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Capivasertib\xtbopt.xyz
-76.079645351502,-47740.70021469834,0.0,-9.8165,-7.6068,2.209780303914,0.0,1.1048,-8.7116,8.7116,34.3453,0.4526,Pimicotinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Pimicotinib\xtbopt.xyz
